,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
385,2023-03-27,601728,5.98,5.78,6.07,5.55,8957517,5673965057.0,8.58,-4.62,-0.28,4.57,5.78
386,2023-03-28,601728,5.73,5.85,5.99,5.67,6591404,4219805123.0,5.54,1.21,0.07,3.36,5.85
387,2023-03-29,601728,5.79,5.75,5.85,5.55,6129845,3841735621.0,5.13,-1.71,-0.1,3.13,5.75
388,2023-03-30,601728,5.72,5.51,5.83,5.46,6391927,3938792814.0,6.43,-4.17,-0.24,3.26,5.51
389,2023-03-31,601728,5.53,5.76,5.86,5.48,6025532,3760384858.0,6.9,4.54,0.25,3.08,5.76
390,2023-04-03,601728,5.7,5.95,6.05,5.66,7089582,4553913031.0,6.77,3.3,0.19,3.62,5.95
391,2023-04-04,601728,5.9,6.4,6.51,5.87,9316775,6368237655.0,10.76,7.56,0.45,4.76,6.4
392,2023-04-06,601728,6.24,6.35,6.45,6.06,5558491,3806175106.0,6.09,-0.78,-0.05,2.84,6.35
393,2023-04-07,601728,6.3,6.41,6.55,6.19,4017314,2779516301.0,5.67,0.94,0.06,2.05,6.41
394,2023-04-10,601728,6.35,6.32,6.67,6.3,5724456,4016230063.0,5.77,-1.4,-0.09,2.92,6.32
395,2023-04-11,601728,6.24,6.05,6.27,5.93,5470273,3621943548.0,5.38,-4.27,-0.27,2.79,6.05
396,2023-04-12,601728,6.01,6.45,6.55,5.99,6472440,4497643616.0,9.26,6.61,0.4,3.3,6.45
397,2023-04-13,601728,6.33,6.23,6.43,6.1,4338604,2962670140.0,5.12,-3.41,-0.22,2.21,6.23
398,2023-04-14,601728,6.25,6.32,6.46,6.17,4048392,2784946793.0,4.65,1.44,0.09,2.07,6.32
399,2023-04-17,601728,6.25,6.46,6.5,6.15,4964249,3450897073.0,5.54,2.22,0.14,2.53,6.46
400,2023-04-18,601728,6.34,6.51,6.58,6.26,5200109,3635886073.0,4.95,0.77,0.05,2.65,6.51
401,2023-04-19,601728,6.46,6.2,6.47,6.17,5025428,3442010687.0,4.61,-4.76,-0.31,2.57,6.2
402,2023-04-20,601728,6.23,6.25,6.31,6.08,3835006,2605304757.0,3.71,0.81,0.05,1.96,6.25
403,2023-04-21,601728,6.27,6.07,6.33,6.07,4060647,2743647671.0,4.16,-2.88,-0.18,2.07,6.07
404,2023-04-24,601728,6.05,6.09,6.26,5.98,3157631,2116442228.0,4.61,0.33,0.02,1.61,6.09
405,2023-04-25,601728,6.1,5.94,6.13,5.82,3578962,2341217247.0,5.09,-2.46,-0.15,1.83,5.94
406,2023-04-26,601728,5.87,5.92,5.98,5.71,3183334,2031296232.0,4.55,-0.34,-0.02,1.62,5.92
407,2023-04-27,601728,5.81,5.96,6.02,5.74,2906895,1893564162.0,4.73,0.68,0.04,1.48,5.96
408,2023-04-28,601728,5.97,6.12,6.14,5.94,2535570,1685319846.0,3.36,2.68,0.16,1.29,6.12
409,2023-05-04,601728,6.04,6.08,6.15,5.92,2608190,1725996962.0,3.76,-0.65,-0.04,1.33,6.08
